#ワイヤー,ギャップ,運動量,T0 (OPEN) [Hz],T0&T4 (OPEN) [Hz],T0 (CLOSE) [Hz],T0&T4 (CLOSE) [Hz],CLOSE/OPEN
#なし,OPEN,3,37.94,16.56,,,
#あり(調整前),OPEN,3,16280.03,7227.91,,,
あり,,5.8,1286.1,655.24,1090.31,552.41,0.8477645595
あり,,5.5,2008.02,1097.12,1653.55,917.57,0.8234728738
あり,,5,3422,1974.74,2825.24,1641.07,0.8256107539
あり,,4.5,5339.47,2919.77,4392.06,2422.06,0.8225647864
あり,,4,7268.98,3409.75,5947.55,2808.86,0.8182097076
あり,,3.5,9043.43,4218.49,7403.76,3455.74,0.818689369
あり,,3,11225.27,4889.42,8399.05,3668.84,0.7482269914
あり,,2.5,12521.92,4924.84,9732.38,3850.4,0.7772274539
あり,,2,13308.82,4784.18,10453.98,3804.18,0.7854926282
あり,,1.5,13010.79,3996.72,10355.49,3211.46,0.7959155439
あり,,1,10652.59,2559.63,8571.97,2101.97,0.8046841191
あり,,0.5,5229.88,753.21,4105.67,595.14,0.785040957
あり,,0.4,3866.97,430.47,3134.04,356.22,0.8104640067
あり,,0.3,2524.71,186.15,1991.29,145.22,0.7887202887
あり,,0.2,1284.04,40.23,1037.35,31.53,0.8078798168
あり,,0.1,359.26,1.67,300.76,1.2,0.8371652842
#なし,CLOSE,3,,,32.93,14.72,
#なし,OPEN,3,36.23,15.5,,,0
