#ワイヤー,ギャップ,運動量,T0 (OPEN) [Hz],T0&T4 (OPEN) [Hz],T0 (CLOSE) [Hz],T0&T4 (CLOSE) [Hz],CLOSE/OPEN
あり,,5,439.18,114.41,433.95,119.09,0.9880914431
あり,,4.5,1469.52,769.8,1196.88,636.27,0.814470031
あり,,4,3065.44,1542.5,2634.37,1373.29,0.8593774466
あり,,3.5,4809.8,2548.55,4064.74,2186.42,0.8450954302
あり,,3,6859.42,3574.74,5582.55,2969.95,0.8138516084
あり,,2.5,8839.9,4246.67,7254.22,3512.93,0.8206224052
あり,,2,10254.11,4410.18,8562.16,3744.9,0.8349978691
あり,,1.5,11353.02,4040.59,9392.05,3401.41,0.8272732718
あり,,1,10546.38,2928.54,8499.76,2360.98,0.8059409959
あり,,0.5,5530.34,979.43,4531.51,822.28,0.8193908512
#6x2cmコリメーター,,3,6838.31,2601.67,,,
#phi3cmコリメーター,,6765.96,1423.97,,,
#なし,CLOSE,3,,,29.3,11.93,
#なし,OPEN,3,38.83,15.23,,,0
